candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
40,37.5,0.1,68.0,65.0,15,1.4,30.0,32.5,1.0440256383573812,0.6524743207866512,-0.7875993884076191,103126.12565407535,127,13
204,43.0,0.3,67.5,66.0,15,1.4,30.0,32.5,1.0432890282006966,0.6249081437283021,-0.7604797548593613,102527.68331099377,163,17
138,40.5,0.3,68.0,65.0,20,1.4,30.0,32.5,1.0422463618265363,0.6361263404992352,-0.7741176788979384,101686.15976991827,173,16
145,43.0,0.0,67.0,65.0,15,1.6,30.0,32.5,1.0418659058503108,0.639609153140464,-0.7575311035781367,101380.71503286758,121,17
41,37.5,0.1,68.0,65.0,15,1.6,30.0,32.5,1.0405045004338422,0.645543654921117,-0.7875993884076187,100294.76178827818,114,13
215,43.0,0.3,68.0,66.0,20,1.6,30.0,32.5,1.0366728493694972,0.6185531553708972,-0.7604797548593613,97296.64635286166,151,17
24,37.5,0.1,67.0,65.0,15,1.4,30.0,32.5,1.0344746778308473,0.6594665407693263,-0.7875993884076188,95614.82838010864,141,13
200,43.0,0.3,67.5,65.0,15,1.4,30.0,32.5,1.034050174935619,0.6242640447069503,-0.7604797548593613,95293.19981357071,161,17
124,40.5,0.3,67.0,66.0,15,1.4,30.0,32.5,1.0295679816695968,0.6397308887295775,-0.7741176788979386,91958.5896245842,171,16
205,43.0,0.3,67.5,66.0,15,1.6,30.0,32.5,1.0286632580272688,0.6166991753663955,-0.7604797548593617,91298.92041797926,146,17
198,43.0,0.3,67.0,66.0,20,1.4,30.0,32.5,1.027395644604725,0.63414968612624,-0.7604797548593616,90382.11819694928,200,17
123,40.5,0.3,67.0,65.0,20,1.6,30.0,32.5,1.0271985085909,0.636126880796227,-0.7741176788979385,90240.31783599315,158,16
60,37.5,0.3,67.5,66.0,15,1.4,30.0,32.5,1.0264907080452503,0.6417197337592399,-0.7842416066647966,89732.9132828589,163,13
1,37.5,0.0,67.0,65.0,15,1.6,30.0,32.5,1.0250792854908966,0.6560168877946916,-0.7815854793609471,88729.07898449636,121,13
141,40.5,0.3,68.0,66.0,15,1.6,30.0,32.5,1.0233938190697849,0.6246581789935538,-0.7741176788979385,87544.14047141727,139,16
71,37.5,0.3,68.0,66.0,20,1.6,30.0,32.5,1.019928922248361,0.6355329994804354,-0.7842416066647965,85154.67479560467,151,13
56,37.5,0.3,67.5,65.0,15,1.4,30.0,32.5,1.0173278093871208,0.6410926103882081,-0.7842416066647967,83401.24500209455,161,13
201,43.0,0.3,67.5,65.0,15,1.6,30.0,32.5,1.017264107637922,0.616260317540706,-0.7604797548593615,83358.73112548336,144,17
211,43.0,0.3,68.0,65.0,20,1.6,30.0,32.5,1.0125895507075895,0.6183982153468891,-0.7604797548593615,80293.87102285164,148,17
